x,y
-10.0,273.9097341811943
-9.97997997997998,284.38514999876776
-9.95995995995996,267.90131611355434
-9.93993993993994,279.48643452036333
-9.91991991991992,291.91649452236896
-9.8998998998999,271.0548740788909
-9.87987987987988,296.3868006736662
-9.85985985985986,276.6710283630365
-9.83983983983984,281.3226099456642
-9.81981981981982,290.3863805158658
-9.7997997997998,295.7927164980623
-9.77977977977978,251.71452564476724
-9.75975975975976,263.8468150943497
-9.73973973973974,260.10400740209843
-9.71971971971972,262.5954600062049
-9.6996996996997,253.457875254579
-9.67967967967968,291.8468064973981
-9.65965965965966,266.1871700422456
-9.63963963963964,255.1763788972541
-9.61961961961962,261.36488497139857
-9.5995995995996,261.1844955006047
-9.57957957957958,250.11695840247276
-9.55955955955956,250.81918172697758
-9.53953953953954,271.28505287221446
-9.51951951951952,243.7363239263144
-9.4994994994995,243.26913006176713
-9.47947947947948,248.45474889243084
-9.45945945945946,262.1948695857242
-9.43943943943944,267.61238786964987
-9.41941941941942,262.1570752880916
-9.3993993993994,261.23502453632693
-9.37937937937938,260.43188682458543
-9.35935935935936,256.4574888111087
-9.33933933933934,250.76122050387087
-9.31931931931932,244.76237003213367
-9.2992992992993,227.8717305695094
-9.27927927927928,269.2477134882236
-9.25925925925926,251.42487304582832
-9.23923923923924,235.20882239302756
-9.21921921921922,234.76189368864982
-9.1991991991992,234.14776878438462
-9.17917917917918,248.47704413836416
-9.15915915915916,257.83889768049545
-9.13913913913914,241.32999506657717
-9.11911911911912,224.42156126775498
-9.0990990990991,245.24698858178004
-9.07907907907908,241.5116200384838
-9.05905905905906,221.42008882690897
-9.03903903903904,227.20764381210222
-9.01901901901902,230.36126560095954
-8.998998998999,226.5321569859738
-8.97897897897898,218.7061336946105
-8.95895895895896,219.54682011640742
-8.93893893893894,227.56351842399073
-8.91891891891892,221.81692697622177
-8.8988988988989,234.61867815656237
-8.87887887887888,219.53926666547687
-8.85885885885886,230.0836055364306
-8.83883883883884,224.4348831316921
-8.81881881881882,210.68194916434058
-8.7987987987988,213.07273285108553
-8.77877877877878,207.07754074431142
-8.75875875875876,209.84151943850893
-8.73873873873874,230.41055966104284
-8.71871871871872,224.2928206290885
-8.6986986986987,221.32483203678095
-8.67867867867868,237.45080943761923
-8.65865865865866,203.5421311739224
-8.63863863863864,219.95014401941532
-8.618618618618619,192.41037686776315
